      EF                  x                  y                  z                J0_x               J0_y               J0_z               J1_x               J1_y               J1_z               J2_x               J2_y               J2_z      
      12.125000        1310.895840       -1314.276211        5658.830034           0.026152          -0.026271          -2.115873          -0.574039           0.572678           8.278215        1311.443727       -1314.822618        5652.667692
      12.126000        1301.883606       -1305.070567        5700.587908           0.025941          -0.026059          -2.117981          -0.578544           0.577214           8.275791        1302.436209       -1305.621722        5694.430098
      12.127000        1292.516675       -1295.507349        5742.546150           0.025729          -0.025847          -2.120060          -0.582963           0.581665           8.273192        1293.073909       -1296.063168        5736.393018
      12.128000        1283.000267       -1285.792297        5784.673241           0.025510          -0.025627          -2.122034          -0.587490           0.586224           8.270269        1283.562246       -1286.352894        5778.525006
      12.129000        1273.025134       -1275.616030        5827.053628           0.025282          -0.025399          -2.123968          -0.592041           0.590808           8.267516        1273.591892       -1276.181439        5820.910080
      12.130000        1262.598548       -1264.985899        5869.720140           0.025052          -0.025168          -2.125891          -0.596500           0.595301           8.264792        1263.169996       -1265.556033        5863.581239
      12.131000        1251.732229       -1253.913687        5912.640899           0.024823          -0.024938          -2.127797          -0.600865           0.599700           8.261968        1252.308271       -1254.488448        5906.506728
      12.132000        1240.450831       -1242.424067        5955.788164           0.024595          -0.024709          -2.129686          -0.605108           0.603977           8.259126        1241.031345       -1243.003335        5949.658725
      12.133000        1228.753780       -1230.516476        5999.163113           0.024366          -0.024480          -2.131560          -0.609226           0.608130           8.256290        1229.338640       -1231.100126        5993.038382
      12.134000        1216.639581       -1218.189436        6042.765257           0.024138          -0.024250          -2.133418          -0.613218           0.612157           8.253463        1217.228661       -1218.777342        6036.645212
      12.135000        1204.106788       -1205.441513        6086.594099           0.023909          -0.024021          -2.135261          -0.617084           0.616058           8.250646        1204.699962       -1206.033550        6080.478713
      12.136000        1191.154073       -1192.271396        6130.649221           0.023681          -0.023792          -2.137089          -0.620823           0.619834           8.247840        1191.751215       -1192.867438        6124.538470
      12.137000        1177.780143       -1178.677807        6174.930236           0.023452          -0.023563          -2.138902          -0.624436           0.623483           8.245045        1178.381127       -1179.277728        6168.824092
      12.138000        1163.983782       -1164.659547        6219.436795           0.023223          -0.023334          -2.140699          -0.627922           0.627007           8.242263        1164.588481       -1165.263220        6213.335231
      12.139000        1149.763727       -1150.215740        6264.168593           0.022995          -0.023104          -2.142482          -0.631281           0.630403           8.239494        1150.372013       -1150.823039        6258.071580
      12.140000        1135.117367       -1135.348673        6309.125352           0.022764          -0.022873          -2.144247          -0.634515           0.633674           8.236742        1135.729118       -1135.959474        6303.032857
      12.141000        1120.043225       -1120.058388        6354.306839           0.022532          -0.022640          -2.145994          -0.637623           0.636818           8.234006        1120.658316       -1120.672566        6348.218827
      12.142000        1104.540370       -1104.343967        6399.712647           0.022298          -0.022406          -2.147724          -0.640607           0.639837           8.231289        1105.158679       -1104.961398        6393.629083
      12.143000        1088.607956       -1088.204571        6445.341771           0.022061          -0.022168          -2.149437          -0.643465           0.642729           8.228594        1089.229361       -1088.825131        6439.262614
      12.144000        1072.243469       -1071.637693        6491.129385           0.021822          -0.021928          -2.151126          -0.646147           0.645444           8.225756        1072.867794       -1072.261208        6485.054755
      12.145000        1055.432712       -1054.629099        6536.981454           0.021573          -0.021679          -2.152756          -0.648759           0.648088           8.222537        1056.059898       -1055.255508        6530.911673
      12.146000        1038.138091       -1037.141160        6582.980236           0.021317          -0.021422          -2.154330          -0.651416           0.650776           8.219186        1038.768191       -1037.770514        6576.915379
      12.147000        1020.370236       -1019.184610        6629.124976           0.021064          -0.021168          -2.155893          -0.654241           0.653631           8.216484        1021.003413       -1019.817072        6623.064385
      12.148000        1002.140100       -1000.770431        6675.398626           0.020817          -0.020921          -2.157452          -0.657252           0.656671           8.214546        1002.776536       -1001.406181        6669.341532
      12.149000         983.448204        -981.899132        6721.801261           0.020575          -0.020679          -2.159007          -0.660446           0.659892           8.213376         984.088074        -982.538345        6715.746892
      12.150000         964.294169        -962.570323        6768.333381           0.020339          -0.020442          -2.160557          -0.663819           0.663292           8.212980         964.937649        -963.213172        6762.280958
      12.151000         944.659763        -942.765751        6815.011959           0.020109          -0.020211          -2.162102          -0.667374           0.666873           8.213386         945.307028        -943.412413        6808.960675
      12.152000         924.537871        -922.478297        6861.843342           0.019885          -0.019987          -2.163640          -0.671111           0.670635           8.214617         925.189097        -923.128945        6855.792365
      12.153000         903.910126        -901.689761        6908.899549           0.019665          -0.019766          -2.165170          -0.675020           0.674568           8.216692         904.565481        -902.344563        6902.848026
      12.154000         882.762170        -880.385557        6956.240875           0.019447          -0.019547          -2.166687          -0.679070           0.678643           8.219472         883.421794        -881.044653        6950.188090
      12.155000         861.248176        -858.719537        7004.024628           0.019221          -0.019321          -2.168161          -0.683060           0.682656           8.222477         861.912016        -859.382872        6997.970311
      12.156000         839.911429        -837.236119        7052.217386           0.018973          -0.019073          -2.169542          -0.687089           0.686706           8.224314         840.579545        -837.903752        7046.162615
      12.157000         817.935101        -815.118594        7100.365695           0.018709          -0.018808          -2.170888          -0.690957           0.690595           8.224000         818.607349        -815.790382        7094.312583
      12.158000         795.297359        -792.344939        7148.482800           0.018428          -0.018527          -2.172205          -0.694669           0.694328           8.221563         795.973600        -793.020740        7142.433441
      12.159000         772.004526        -768.921426        7196.559311           0.018131          -0.018230          -2.173491          -0.698239           0.697917           8.217001         772.684633        -769.601113        7190.515801
      12.160000         748.079387        -744.870848        7244.630832           0.017820          -0.017918          -2.174747          -0.701678           0.701375           8.210661         748.763245        -745.554305        7238.594917
      12.161000         723.611095        -720.282657        7292.931025           0.017504          -0.017602          -2.175990          -0.705000           0.704716           8.204623         724.298591        -720.969772        7286.902391
      12.162000         698.620133        -695.180812        7341.480240           0.017182          -0.017280          -2.177231          -0.708193           0.707926           8.199158         699.311144        -695.871458        7335.458314
      12.163000         673.107671        -669.567082        7390.279979           0.016854          -0.016951          -2.178471          -0.711255           0.711003           8.194269         673.802072        -670.261134        7384.264181
